slug,name
abmahnungen-vermeiden,Защита от санкций
amazon-video,Amazon Video
sichere-kommunikation,Анонимное общение
schutz-vor-hackerviren,Firewall и защита
maximale-anonymitaet,Высокая степень анонимности
netflix-deutschland,Netflix
nutzung-in-china,Использование в Китае
datensicherheit,Безопасная передача данных
skygo,SkyGo
lokale-sperren-umgehen,Обход ограничений
tvvideo-inhalte-andere-laender,Стриминг
tauschboersen-torrent,Файлообмен/Торренты
anbindung-tor,Доступ к TOR (.onion)
vpn-router,VPN-роутер (ASUS)
